Dataset,K=1,K=2,K=5,K=10,Combined,FordA (K=5)
NonInvasiveFetalECGThorax2,0.989,0.931,0.926,0.922,0.916,0.933
OSULeaf,1.0,0.719,0.607,0.702,0.678,0.744
OliveOil,1.0,0.8,0.833,0.767,0.8,0.8
PLAID,0.583,0.46,0.475,0.471,0.466,0.495
PhalangesOutlinesCorrect,0.818,0.773,0.797,0.787,0.793,0.759
Phoneme,1.0,0.207,0.205,0.207,0.192,0.225
PickupGestureWiimoteZ,0.98,0.54,0.66,0.74,0.58,0.7
PigAirwayPressure,1.0,0.216,0.207,0.221,0.236,0.226
PigArtPressure,1.0,0.736,0.615,0.663,0.663,0.702
PigCVP,1.0,0.495,0.481,0.476,0.481,0.519
Plane,1.0,0.99,1.0,0.99,0.981,0.99
PowerCons,1.0,0.922,0.906,0.939,0.933,0.939
ProximalPhalanxOutlineAgeGroup,0.858,0.834,0.844,0.854,0.849,0.834
ProximalPhalanxOutlineCorrect,0.9,0.859,0.873,0.856,0.859,0.869
ProximalPhalanxTW,0.922,0.785,0.81,0.82,0.82,0.815
RefrigerationDevices,0.707,0.515,0.525,0.504,0.504,0.541
Rock,1.0,0.56,0.62,0.76,0.64,0.66
ScreenType,0.787,0.381,0.443,0.44,0.411,0.467
SemgHandGenderCh2,0.987,0.84,0.848,0.817,0.795,0.828
SemgHandMovementCh2,1.0,0.636,0.607,0.593,0.569,0.667
SemgHandSubjectCh2,1.0,0.758,0.773,0.709,0.716,0.764
ShakeGestureWiimoteZ,1.0,0.78,0.72,0.86,0.8,0.84
ShapeletSim,1.0,0.511,0.522,0.561,0.594,0.589
ShapesAll,0.995,0.812,0.798,0.825,0.823,0.84
SmallKitchenAppliances,0.691,0.691,0.696,0.717,0.704,0.723
SmoothSubspace,1.0,0.947,0.92,0.98,0.973,0.973
SonyAIBORobotSurface1,1.0,0.745,0.837,0.651,0.659,0.739
SonyAIBORobotSurface2,1.0,0.793,0.795,0.799,0.869,0.842
StarLightCurves,0.998,0.968,0.97,0.97,0.964,0.971
Strawberry,0.971,0.946,0.914,0.935,0.932,0.938
SwedishLeaf,0.984,0.906,0.912,0.91,0.907,0.922
Symbols,1.0,0.908,0.886,0.847,0.886,0.923
SyntheticControl,0.997,0.983,0.997,0.977,0.98,0.99
ToeSegmentation1,1.0,0.864,0.781,0.816,0.864,0.886
ToeSegmentation2,0.917,0.8,0.877,0.838,0.785,0.854
Trace,1.0,1.0,1.0,1.0,1.0,1.0
TwoLeadECG,1.0,0.971,0.792,0.965,0.857,0.935
TwoPatterns,1.0,1.0,1.0,1.0,1.0,1.0
UMD,1.0,0.986,0.882,0.972,0.979,1.0
UWaveGestureLibraryAll,0.991,0.934,0.916,0.918,0.9,0.951
UWaveGestureLibraryX,0.98,0.805,0.795,0.786,0.79,0.808
UWaveGestureLibraryY,0.948,0.716,0.718,0.714,0.708,0.736
UWaveGestureLibraryZ,0.956,0.736,0.731,0.714,0.729,0.752
Wafer,1.0,0.994,0.991,0.994,0.995,0.998
Wine,0.526,0.611,0.5,0.5,0.5,0.5
WordSynonyms,1.0,0.621,0.589,0.6,0.619,0.65
Worms,1.0,0.558,0.545,0.61,0.519,0.623
WormsTwoClass,0.956,0.662,0.636,0.662,0.61,0.662
Yoga,1.0,0.828,0.8,0.814,0.781,0.859
