Dataset,K=1,K=2,K=5,K=10,K=combined,FordA (K=5)
FordA,0.898,0.914,0.898,0.897,0.918,0.899
FordB,0.778,0.744,0.762,0.751,0.785,0.769
FreezerRegularTrain,0.986,0.991,0.989,0.982,0.989,0.993
FreezerSmallTrain,0.811,0.741,0.783,0.887,0.791,0.916
Fungi,0.742,0.871,0.941,0.962,0.941,0.871
GestureMidAirD1,0.538,0.546,0.615,0.631,0.569,0.615
GestureMidAirD2,0.515,0.523,0.446,0.485,0.538,0.5
GestureMidAirD3,0.3,0.254,0.331,0.323,0.292,0.323
GesturePebbleZ1,0.645,0.564,0.529,0.622,0.669,0.535
GesturePebbleZ2,0.563,0.791,0.551,0.57,0.709,0.595
GunPoint,0.933,0.98,0.973,0.987,0.98,0.973
GunPointAgeSpan,0.94,0.959,0.937,0.908,0.949,0.949
GunPointMaleVersusFemale,1,1,1,1,1,0.994
GunPointOldVersusYoung,1,1,1,1,1,1
Ham,0.743,0.657,0.59,0.562,0.762,0.676
HandOutlines,0.932,0.916,0.916,0.93,0.935,0.916
Haptics,0.484,0.474,0.477,0.442,0.477,0.474
Herring,0.547,0.5,0.641,0.594,0.578,0.594
HouseTwenty,0.832,0.874,0.849,0.891,0.882,0.824
InlineSkate,0.367,0.404,0.387,0.431,0.407,0.442
InsectEPGRegularTrain,1,1,1,1,1,1
InsectEPGSmallTrain,1,1,1,1,1,1
InsectWingbeatSound,0.599,0.563,0.57,0.548,0.605,0.567
ItalyPowerDemand,0.934,0.941,0.927,0.954,0.946,0.913
LargeKitchenAppliances,0.752,0.784,0.816,0.76,0.776,0.765
Lightning2,0.852,0.689,0.82,0.754,0.836,0.836
Lightning7,0.753,0.699,0.74,0.699,0.712,0.644
Mallat,0.93,0.906,0.939,0.946,0.974,0.953
Meat,0.917,0.85,0.9,0.917,0.9,0.933
MedicalImages,0.754,0.717,0.709,0.708,0.757,0.724
MelbournePedestrian,0.285,0.283,0.29,0.288,0.286,0.299
MiddlePhalanxOutlineAgeGroup,0.656,0.643,0.656,0.662,0.636,0.63
MiddlePhalanxOutlineCorrect,0.801,0.808,0.828,0.794,0.814,0.818
MiddlePhalanxTW,0.558,0.578,0.571,0.584,0.565,0.597
MixedShapesRegularTrain,0.918,0.911,0.908,0.917,0.919,0.912
MixedShapesSmallTrain,0.862,0.844,0.876,0.826,0.868,0.868
MoteStrain,0.779,0.802,0.823,0.83,0.81,0.813
NonInvasiveFetalECGThorax1,0.921,0.907,0.895,0.902,0.922,0.926
NonInvasiveFetalECGThorax2,0.931,0.926,0.922,0.916,0.933,0.924
OliveOil,0.8,0.833,0.767,0.8,0.8,0.833
OSULeaf,0.719,0.607,0.702,0.678,0.744,0.653
PhalangesOutlinesCorrect,0.773,0.797,0.787,0.793,0.759,0.788
Phoneme,0.207,0.205,0.207,0.192,0.225,0.187
PickupGestureWiimoteZ,0.54,0.66,0.74,0.58,0.7,0.62
PigAirwayPressure,0.216,0.207,0.221,0.236,0.226,0.269
PigArtPressure,0.736,0.615,0.663,0.663,0.702,0.774
PigCVP,0.495,0.481,0.476,0.481,0.519,0.577
PLAID,0.46,0.475,0.471,0.466,0.495,0.471
Plane,0.99,1,0.99,0.981,0.99,0.99
PowerCons,0.922,0.906,0.939,0.933,0.939,0.939
ProximalPhalanxOutlineAgeGroup,0.834,0.844,0.854,0.849,0.834,0.863
ProximalPhalanxOutlineCorrect,0.859,0.873,0.856,0.859,0.869,0.859
ProximalPhalanxTW,0.785,0.81,0.82,0.82,0.815,0.81
RefrigerationDevices,0.515,0.525,0.504,0.504,0.541,0.536
Rock,0.56,0.62,0.76,0.64,0.66,0.5
ScreenType,0.381,0.443,0.44,0.411,0.467,0.424
SemgHandGenderCh2,0.84,0.848,0.817,0.795,0.828,0.85
SemgHandMovementCh2,0.636,0.607,0.593,0.569,0.667,0.578
SemgHandSubjectCh2,0.758,0.773,0.709,0.716,0.764,0.702
ShakeGestureWiimoteZ,0.78,0.72,0.86,0.8,0.84,0.9
ShapeletSim,0.511,0.522,0.561,0.594,0.589,0.55
ShapesAll,0.812,0.798,0.825,0.823,0.84,0.838
SmallKitchenAppliances,0.691,0.696,0.717,0.704,0.723,0.707
SmoothSubspace,0.947,0.92,0.98,0.973,0.973,0.947
SonyAIBORobotSurface1,0.745,0.837,0.651,0.659,0.739,0.752
SonyAIBORobotSurface2,0.793,0.795,0.799,0.869,0.842,0.811
StarLightCurves,0.968,0.97,0.97,0.964,0.971,0.968
Strawberry,0.946,0.914,0.935,0.932,0.938,0.957
SwedishLeaf,0.906,0.912,0.91,0.907,0.922,0.898
Symbols,0.908,0.886,0.847,0.886,0.923,0.941
SyntheticControl,0.983,0.997,0.977,0.98,0.99,0.99
ToeSegmentation1,0.864,0.781,0.816,0.864,0.886,0.816
ToeSegmentation2,0.8,0.877,0.838,0.785,0.854,0.808
Trace,1,1,1,1,1,1
TwoLeadECG,0.971,0.792,0.965,0.857,0.935,0.985
TwoPatterns,1,1,1,1,1,1
UMD,0.986,0.882,0.972,0.979,1,0.972
UWaveGestureLibraryAll,0.934,0.916,0.918,0.9,0.951,0.908
UWaveGestureLibraryX,0.805,0.795,0.786,0.79,0.808,0.775
UWaveGestureLibraryY,0.716,0.718,0.714,0.708,0.736,0.702
UWaveGestureLibraryZ,0.736,0.731,0.714,0.729,0.752,0.732
Wafer,0.994,0.991,0.994,0.995,0.998,0.995
Wine,0.611,0.5,0.5,0.5,0.5,0.5
WordSynonyms,0.621,0.589,0.6,0.619,0.65,0.599
Worms,0.558,0.545,0.61,0.519,0.623,0.597
WormsTwoClass,0.662,0.636,0.662,0.61,0.662,0.636
Yoga,0.828,0.8,0.814,0.781,0.859,0.786
